text,label,type,topic
"Subject: VERIFY YOUR ACCOUNT TO GET PAID

Attention Valued Staff,

We detected some unnusual activty on your payroll account. To protect your funds and ensure your salary is paid on time, you MUST varify your details immediately.

Failure to do so will result in a suspension of your direct deposit.

Click to varify: `[VERIFY ACCOUNT NOW]`

This is a security alert.
HR department",1,email,HR salary update
"Subject: Invitation: Salary Benchmarking Workshop

Dear Team Leads,

You are invited to participate in a salary benchmarking workshop on July 20th at 9:00 AM in Conference Room C. This session will provide insights into our compensation philosophy and gather feedback on market trends.

Please confirm your attendance by July 15th by replying to this email.

Best regards,
Compensation & Benefits Team, HR",0,email,HR salary update
Payroll error detected! Your next salary payment is at risk. Fix it now: `shorturl.at/payfix`,1,sms,HR salary update
"Your HR contact, John Smith, will be out of office until July 12th. For urgent matters, please contact `hrsupport@yourcompany.com`.",0,sms,HR salary update
"Subject: Important Security Alert: Update your HR Profile for Salary Protection

Dear Sir/Madam,

Our security system has flagged your HR profile as outdated, which could affect your salary information. Immediate action is required to update your profile and prevent potential security breachs.

Please use the following link to update your details: `[ACCESS SECURE HR PROFILE]`

We apreciate your prompt attention to this matter.
Security & HR Admin",1,email,HR salary update
"Subject: Q2 Performance Review & Compensation Discussion

Dear [Employee Name],

As part of our continuous performance management cycle, your Q2 performance review and compensation discussion is scheduled with your manager, [Manager Name], for [Date] at [Time] in [Location/Virtual Link].

Please ensure you have reviewed your self-assessment and prepared any questions you may have.

Should you need to reschedule, please coordinate directly with your manager.

Thank you,
Talent Management Team",0,email,HR salary update
Final reminder: Pending salary adjustment. Validate your info or lose benefits. `rebrand.ly/salaryadj`,1,sms,HR salary update
This month's company newsletter is out! Check your email for updates on HR policies and employee benefits.,0,sms,HR salary update
"Subject: Action Required! Your new salary is pending!

Hello,

Good news! Your salary review has been completed, and you are eligible for a significant increase. To apply this change to your next pay, you must CONFIRM your banking details through our secure portal.

This is time sensative. Complete within 12 hours.
Click here to confirm: `[CONFIRM YOUR NEW SALARY]`

Do not miss this opportunity!
HR Payouts Department",1,email,HR salary update
"Subject: Important Update: Annual Compensation Statement 2023

Dear Employees,

We are pleased to announce that your Annual Compensation Statement for the fiscal year 2023 is now available. This statement provides a comprehensive overview of your total rewards, including salary, bonuses, and benefits.

You can securely access your personalized statement through the Total Rewards section of the HR portal: `https://totalrewards.yourcompany.com`.

If you have any questions, please contact `compensation@yourcompany.com`.

Best regards,
Compensation & Benefits Team",0,email,HR salary update
Attention! Unauthorized login detected for your HR account. Verify activity immediately to secure salary: `goo.gl/securehr`,1,sms,HR salary update
Reminder: HR team available for walk-in questions about new benefits plan every Tuesday 2-4 PM in the HR office.,0,sms,HR salary update
"Subject: Important Payroll Update - Mandatory Action!

Dear Staff Member,

Our payroll system has detected a discrepency with your current salary account which requires your immediate attention. Failure to resolve this issue expeditiously will result in a delay in your upcoming payment.

To rectify this, please click on the following link and update your details within the next 8 hours:
`[UPDATE YOUR PAYROLL DETAILS HERE]`

This is a security measure to protect your funds.
Thank you for your cooperation,
HR Payroll Team",1,email,HR salary update
"Subject: Upcoming Annual Salary Review - Important Information
Dear Team,
This email serves to inform you about the upcoming annual salary review process for 2024. Detailed guidelines and timelines will be communicated by the end of next week. Please refer to the HR intranet for general information on compensation policies: https://intranet.yourcompany.com/hr/compensation.
Best regards,
HR Department",0,email,HR salary update
"Subject: Payslip for June 2024 Available
Dear [Employee Name],
Your payslip for June 2024 is now available on the official HR portal. You can securely access it by logging in at: https://hrportal.yourcompany.com/login.
Should you have any questions, please contact the Payroll team.
Sincerely,
Payroll Department",0,email,HR salary update
"Subject: Changes to Employee Benefits and Compensation Policy
Dear Colleagues,
We are updating our Employee Benefits and Compensation Policy effective August 1, 2024. A summary of the changes, including potential impacts on salary structures, has been published on the HR knowledge base. Please review the updated policy here: https://hr.yourcompany.com/policies/benefits.
Thank you,
HR Management",0,email,HR salary update
"Subject: Reminder: 2024 Performance Review Cycle & Salary Adjustments
Hello,
A friendly reminder that the 2024 performance review cycle is concluding soon. Outcomes from these reviews are directly linked to salary adjustments for the upcoming fiscal year. Please ensure all peer feedback and self-assessments are finalized by [Date]. Access the performance management system at: https://performance.yourcompany.com.
Kind regards,
HR Team",0,email,HR salary update
"Subject: Q3 Bonus Payout Information
Dear Employee,
This notification confirms the Q3 bonus payout date for eligible employees. Bonuses will be disbursed with your [Month] salary. Detailed statements will be available on the HR portal (https://hrportal.yourcompany.com) once the payment is processed.
For any inquiries, please reach out to Payroll.
Thank you,
Finance & HR",0,email,HR salary update
"Subject: Upcoming Webinar: Understanding Your Compensation Package
Hi Team,
HR will host a webinar on [Date] to explain various components of your compensation package, including base salary, bonuses, and benefits. This is an informative session designed to help you understand your total rewards. Register here: https://webinar.yourcompany.com/compensation.
Looking forward to seeing you there,
HR Learning & Development",0,email,HR salary update
HR Update: Your June payslip is available on the official HR portal. Log in securely at hrportal.yourcompany.com.,0,sms,HR salary update
Company Announcement: Annual salary review process to commence soon. Details will follow via email.,0,sms,HR salary update
Reminder: Check your company email for an important update regarding 2024 compensation adjustments.,0,sms,HR salary update
Payroll Notification: Q3 bonus payments will be included in your [Month] salary. No action required.,0,sms,HR salary update
HR Info: New compensation policy details are on the HR intranet. Visit intranet.yourcompany.com/hr.,0,sms,HR salary update
Secure Link: Access your benefits statement including salary details at benefits.yourcompany.com.,0,sms,HR salary update
"Subject: URGENT: Salary Update Verification Required - Immediate Action!
Dear Employee,
Your current payrol information appears to be out-of-date. To prevent disruption to your next payment, you must imeddiately verify your details. Click the link below to update your salary info:
https://hr-updates-portal.info/verify-pay
Failure to comply within 24 hours will result in your salary payment being withheld.
Sincerely,
HR Department",1,email,HR salary update
"Subject: Action Required: Your 2024 Salary Adjustment PENDING!
We have reviewed your compansation for 2024. To finalize your salary adjusment and bonus, you are required to confirm your identity via our secure portal.
Please login now:
Click Here for Secure Access: https://company-payroll-portal.com/login-verify-id
This is an urgent matter. Your salary increase is waiting!
Thank you,
Payroll Admin",1,email,HR salary update
"Subject: IMPORTANT: Employee Salary Increase Confirmation
Dear Sir/Madam,
We've detected an issue with your recent salary increase application. To ensure you receive your new rate, please confirm your banking details by clicking the link provided below.
Confirm Details Now: https://payroll-service-update.net/confirm
Act fast, this offer will expire soon.
Regards,
HR & Payroll Management Team",1,email,HR salary update
"Subject: Final Notice: Pending Salary Revision
Your annual salary revision is pending for confirmation. Our records indicate you have not yet responded to our previous notifications. To avoid missing out on your pay raise, you must click here and verify your details within the next 12 hours.
Access Portal: Update Your Salary Details Here https://yourcompany.payroll-review.org/update
This is your final warning.
Thank you,
The HR Team",1,email,HR salary update
"Subject: Salary Verification Needed for Q4 Bonus Payout
Dear valued employee,
We are processing Q4 bonuses and need to verify your current salary information to ensure correct payout. Please click on the folowing link to confirm your details.
Verify Here: https://company-hr.secure-portal.biz/verify
If you don't act quickly, your bonus payment could be delayed or cancelled.
Best regards,
Payroll Department",1,email,HR salary update
"Subject: Critical Security Alert: Your Payroll Account Has Been Compromised!
Dear [Employee Name],
We detected unusual activity on your payroll account. To protect your salary and personal information, you must immediately change your password and verify your details through our secure portal.
Change Password & Verify: Secure HR Login https://security-alert.company-hr.info/reset
Do not share this link. Failure to act within 1 hour will result in account suspension.
Regards,
IT Security / HR Payroll",1,email,HR salary update
"Subject: Your Salary Update Failed! Re-submit Now.
Hello,
We encountered an error processing your recent salary update request. To resubmit and ensure your next payment is correct, please visit our updated HR portal.
Click Here to Resubmit: https://hr-portal-fix.xyz/resubmit
This is a critical issue that requires your prompt attention.
Thank you,
HR Support",1,email,HR salary update
URGENT HR ALERT: Your salary review is pending. Click NOW to confirm your details or face payment delay: hr-update.co/verify,1,sms,HR salary update
ACTION REQUIRED: Your 2024 salary increase is ready! Confirm your data here to activate: payroll-updates.info/activate,1,sms,HR salary update
Final Notice! We need to verify your payrol info. Act within 6 hours or your next payment will be held: official-hr.biz/confirm,1,sms,HR salary update
CRITICAL: Employee salary details are outdated. Update immediately to avoid pay disruption: hr-verify.online/update-info,1,sms,HR salary update
ALERT! Your Q3 bonus is pending. Verify your salary details now to receive payment: company.bonus-portal.net/check,1,sms,HR salary update
Payroll Problem: Your salary cannot be processed. Fix it here NOW: salary-fix.link/problem,1,sms,HR salary update
URGENT! I need you to process a discreet wire transfer IMMEDIATELY. My email access is limited. Click this for details: [secure-payments.co/transfer],1,sms,CEO urgent wire transfer
"Subject: Q4 Wire Transfer Schedule & Review

Dear Finance Team,
Please be aware that the Q4 wire transfer schedule has been finalized. All major transfers will undergo standard review by the CEO's office as part of fiscal planning.
Access the full schedule and guidelines here: [https://company.com/finance/q4_transfers]
Best regards, Finance Department.",0,email,CEO urgent wire transfer
Are you at your desk? I need an urgent payment initiated for a vendor. This is confidential. Text me once you're ready. - [CEO's Name],1,sms,CEO urgent wire transfer
Reminder: Your scheduled wire transfer for 'Project Alpha' is set for [Date]. Please ensure all approvals are in place.,0,sms,CEO urgent wire transfer
Critical time-sensitive payment for project Apex. Can you handle the wire transfer asap? Review the attached here: [document-vault.biz/invoice],1,email,CEO urgent wire transfer
"Subject: Re: Inquiry about payment for 'Vendor Y'

Hi [Employee Name],
Regarding your inquiry, the wire transfer for 'Vendor Y' was successfully processed on [Date] through our standard channels. A confirmation receipt is available in the finance system under transaction ID: 54321.
Let me know if you need anything else.
Thanks, [Colleague's Name]",0,email,CEO urgent wire transfer
Immediatly proceed with the wire transfer for 'Global Solutions Corp'. It is vital for our new partnership. Find payment details: [private-link.ru/ceo-pay],1,email,CEO urgent wire transfer
The CEO's office has approved the budget for international wire transfers for Q1 2024. Details will follow in the budget update.,0,sms,CEO urgent wire transfer
Did you get my email about the urgent funds transfer? It needs to be processed by EOD. Confirm you saw it. - CEO,1,sms,CEO urgent wire transfer
"Subject: Policy Update: International Wire Transfer Procedures

Dear Employees,
Please note an update to our international wire transfer procedures, effective [Date]. This aims to streamline the process while maintaining security. The revised policy document can be found on the corporate intranet: [https://intranet.company.com/policies/wiretransfer_v3.pdf]
For questions, contact Treasury Department.
Sincerely, HR Department.",0,email,CEO urgent wire transfer
"Subject: Action Required: Urgent Wire Transfer - CEO Request

Dear [Employee Name],
I require your prompt assistance with a confidential wire transfer. This is extremly urgent. Please use the secure portal to complete: [portal.company-secure.info/payment]
Do not hesitate. Sent from my phone.
Best, [CEO's Name]",1,email,CEO urgent wire transfer
Confirmation: Wire transfer #98765 to 'Strategic Partner Co.' has been processed as per schedule.,0,sms,CEO urgent wire transfer
I need you to handle a quick wire for 'Elite Services'. It's critical and discreet. Reply YES for details. - [CEO's Name],1,sms,CEO urgent wire transfer
"Subject: Weekly Finance Summary - Payments Processed

Dear Finance Team,
Attached is the weekly summary of all outbound payments and wire transfers processed between [Start Date] and [End Date]. Please review for accuracy and report any discrepancies by EOD Friday.
Report link: [https://reports.company.com/weekly_finance_summary.xlsx]
Best, Head of Finance.",0,email,CEO urgent wire transfer
"Subject: Follow Up: Time Sensitive Payment - [CEO's Name]

Hi [Employee Name],
I'm still waiting for confirmation on the wire transfer for the Q4 acquisition. It's imperative this is done today. Access details here: [update-finance.net/secure-login]
Your immediate action is much appreciated.
Thank you, [CEO's Name]",1,email,CEO urgent wire transfer
"Your wire transfer request for $15,000 for 'Marketing Campaign Z' is awaiting final approval from the CEO's administrative assistant.",0,sms,CEO urgent wire transfer
Pls process the new vendor payment. It's an urgant request directly from me. Link to invoice: [invoice-data.xyz/view],1,sms,CEO urgent wire transfer
"Subject: CEO Communication: Upcoming Financial Projects

Dear Team,
Our CEO recently outlined several upcoming financial projects, including potential large-scale wire transfers for new investments. These will adhere strictly to our established financial protocols and require standard multi-level approvals.
Further details will be provided by the project leads.
Regards, Internal Communications.",0,email,CEO urgent wire transfer
"Subject: CONFIDENTIAL: Urgent Fund Disbursement

Dear [Employee Name],
I am authorizing an urgent fund disbursement. This requires your personal attention. Kindly proceed to initiate the wire transfer by 3 PM today. Instructions: [finance-internal.org/confidential-docs]
Call if absolutely necessary, but preferably just follow instructions.
Best, [CEO's Name]",1,email,CEO urgent wire transfer
The status of wire transfer request #12345 for 'Consulting Group' is 'Approved - Pending Execution'.,0,sms,CEO urgent wire transfer
Emergency! Need a small wire transfer to cover an unforseen expense. Can you handle this now? Reply for info.,1,sms,CEO urgent wire transfer
"Subject: Important: Verification of Large Wire Transfers

Dear [Employee Name],
As part of our standard financial governance, we are conducting a routine verification of all wire transfers exceeding $50,000 processed in the last quarter. Please ensure all supporting documentation is accessible in the finance system.
No immediate action is needed unless contacted by internal audit.
Thank you, Internal Audit Department.",0,email,CEO urgent wire transfer
"Subject: Re: Critical Payment Issue - CEO

Hi [Employee Name],
I hope you recieved my previous emails. We have a critical payment issue with 'Vendor X'. It requires an immediate wire transfer to avoid penalties. Access the secure payment portal: [secure-pay-portal.info/login]
This cannot wait. Act fast.
Regards, [CEO's Name]",1,email,CEO urgent wire transfer
"Subject: Meeting Invite: CEO's Office - Strategic Outgoing Payments Discussion

Hi [Recipient Name],
You are invited to a meeting on [Date] at [Time] in the CEO's conference room to discuss strategic outgoing payments for Q1 2024. This will include an overview of planned major wire transfers.
Please prepare any relevant reports.
Thanks, Executive Assistant.",0,email,CEO urgent wire transfer
Need to finalize a sensitive payment. Respond within 10 min. Very urgant. CEO.,1,sms,CEO urgent wire transfer
"Subject: URGENT ACTION REQUIRED: CEO Mandated Transfer
Dear [Employee Name],
I need your imediate assistance with a critical finacial transfer. The CEO has personally instructed this. Funds must be dispatched by EOD today. Please review the details here: hXXps://corp-finance-portal.secure-login.com/wire-transfer-doc
Confirm once done.
Thanks,
[Impersonated Finance Dept/Assistant]",1,email,CEO urgent wire transfer
"Subject: Reminder: Wire Transfer Protocol Update
Dear Team,
This is a reminder regarding the updated wire transfer protocols that were shared last week. All outgoing international wire transfers now require dual authorization and must be initiated through the official SAP Finance module. Please refer to the updated policy document on the internal portal: https://intranet.company.com/finance/wire_transfer_policy.pdf for full details.
For any questions, contact the Finance department directly.
Best regards,
Finance Department",0,email,CEO urgent wire transfer
Critical! Need your help with a quick payment for CEO. Pls access link now: bit.ly/urgent-pay,1,sms,CEO urgent wire transfer
Your request for wire transfer #FY23-5678 to Vendor X has been approved by Finance. Processing will take 1-2 business days.,0,sms,CEO urgent wire transfer
"Subject: CEO Directive - Priority Wire Transfer
[Employee Name],
I am writing on behalf of the CEO. There is a very important and time-sensitive wire transfer that needs to be executed today. This is a highly confidential matter.
Please click on the link below to review the beneficiary details and initiate the transfer immediately: hXXps://secure-financial-portal.co/verify-account
Confirm once the transfer is done.
Thanks,
[Impersonated CEO/Executive Assistant]",1,email,CEO urgent wire transfer
"Subject: Confirmation of New Vendor Onboarding and Payment Terms
Dear [Employee Name],
This email confirms the successful onboarding of 'New Solutions Corp' as a new vendor. Their payment terms have been updated in our system. Any future wire transfers for this vendor should follow the standard 30-day net payment schedule.
You can find their bank details and official records in the vendor management system under ID: NSC-2023.
Best regards,
Procurement Team",0,email,CEO urgent wire transfer
Urjent! CEO needs funds transfered ASAP. Contact me (CEO cell) for bank details OR click tinyurl.com/ceotransfer,1,sms,CEO urgent wire transfer
CEO's office has approved the quarterly disbursement report. Funds will be released as per scheduled batch processing.,0,sms,CEO urgent wire transfer
"Subject: Re: CEO's Urgent Request - Payment Confirmation
Hello,
The CEO is waiting for the confirmation of the payment. This is very urgent. Please use the attached document for the account details and send the funds now. Attached: payment_instruction.zip
Let me know immediatly when this is done.
Regards,
[Impersonated CEO/Assistant]",1,email,CEO urgent wire transfer
"Subject: FY24 Financial Planning - CEO Message
Dear Team,
The CEO has shared a message regarding the financial planning for FY24. Key initiatives include optimizing operational costs and streamlining payment processes. A detailed memo is available on the internal portal under Finance News.
https://intranet.company.com/news/ceo-finance-memo.html
Your cooperation in adhering to new financial guidelines is appreciated.
Sincerely,
Internal Communications",0,email,CEO urgent wire transfer
High priority! CEO needs a confidential wire transfer completed. Follow this secure link: bit.ly/ceofunds23,1,sms,CEO urgent wire transfer
"Finance Dept: Your request for a supplier bank detail update has been received. Verification in progress, expected completion in 24 hrs.",0,sms,CEO urgent wire transfer
"Subject: IMPORTANT: Review CEO's Transfer Instructions Immediately!
[Employee Name],
This is a final notice regarding the urgent wire transfer instructed by the CEO. It is IMPERATIVE this is completed today. Any delays will have significant consequences.
Access the secure portal for final instructions and confirmation: hXXps://secure-corporate-portal.com/transfer-docs?id=CEO
Act now!
Thank you,
[Impersonated CEO/CFO]",1,email,CEO urgent wire transfer
"Subject: Internal Memo: Upcoming Audit on Wire Transfers
Dear Finance and Accounting Teams,
Please be informed that an internal audit of all outgoing wire transfers from the past fiscal year will commence on [Date]. This is a standard procedure to ensure compliance with our financial policies.
Please ensure all documentation related to wire transfers, including approvals and justifications, is readily accessible. Further details on required documents can be found here: https://intranet.company.com/audit/wire_transfer_checklist.pdf
Thank you for your cooperation.
Internal Audit Department",0,email,CEO urgent wire transfer
"CEO needs a QUICK WIRE TRANSFER. Reply ""YES"" for details or call him on this cell: [Spoofed Number]. DO NOT delay.",1,sms,CEO urgent wire transfer
"CEO meeting at 10 AM, agenda includes review of current quarter's cash flow. Please review report #123.",0,sms,CEO urgent wire transfer
"Subject: [URGENT] CEO Authorised Payment - Act Now
Dear [Employee Name],
The CEO requires an urgent payment to be processed today. This is a very sensitive matter and needs your imediate attention.
The bank details are available on this encrypted link: hXXps://corp-bank-login.com/payment-auth
Please ensure this transfer is completed within the next hour.
Regards,
[Impersonated CEO/Assistant]",1,email,CEO urgent wire transfer
"Subject: Information Request: Wire Transfer Details for Project Alpha
Dear [Employee Name],
We are preparing the final budget reconciliation for Project Alpha. Could you please provide the SWIFT confirmation for the wire transfer initiated on [Date] for Vendor Beta?
This is for internal record-keeping purposes. Please send the details to the Finance inbox within 3 business days.
Thank you,
Project Finance Lead",0,email,CEO urgent wire transfer
CEO needs a fast wire for an acqusition. Link to details: https://urgent-company-finance.net/pay - Do it now!,1,sms,CEO urgent wire transfer
Finance confirmed wire transfer of $15000 to Vendor Z completed successfully. Confirmation #TRF-9876.,0,sms,CEO urgent wire transfer
"Subject: Fw: CONFIDENTIAL: CEO Wire Transfer Request
Hi,
I'm forwarding this from the CEO. This is super important and time critical. He needs you to process a wire transfer by the end of the day.
Find all the detals here: hXXps://company-exec-portal.org/transfer-form
Confirm ASAP.
Thanks,
[Impersonated CEO's Assistant]",1,email,CEO urgent wire transfer
"Subject: New Policy: Thresholds for Executive Approval on Wire Transfers
Dear Team,
Effective next Monday, any single wire transfer exceeding $50,000 will require direct approval from a C-level executive, in addition to standard departmental approvals. This is to enhance financial oversight.
The updated policy document is accessible on the HR portal under 'Financial Policies'.
Best regards,
HR Department",0,email,CEO urgent wire transfer
From CEO: Need you to process a URGENT wire payment. Click: tinyurl.com/ceo-payment-24 ASAP!,1,sms,CEO urgent wire transfer
Finance system alert: Your pending wire transfer approval for [Vendor Name] requires CEO's final sign-off. Status: Pending.,0,sms,CEO urgent wire transfer
"Subject: ACTION REQ: CEO Critical Transfer - TODAY
Dear [Employee Name],
The CEO has personally authorised and requested an urgent wire transfer. This is extremly sensitive and must be done today.
Please access the instructions here: hXXps://secure.corp-pay.info/wire_transfer_details
Do not reply to this email. Complete the action and confirm via SMS to [Spoofed Number].
Best,
[Impersonated CEO]",1,email,CEO urgent wire transfer
"Subject: Actiune Immediata Necesara - Stocare Cloud Depasita! Stimate utilizator, Contul dvs. de stocare cloud este plin si risca sa fie suspendat. Ați depășit limita de 15 GB. Pentru a evita pierderea datelor, vă rugăm să actualizați informațiile contului și să măriți spațiul de stocare imediat. Faceți clic aici: hxxps://bit.ly/cloudfix Acțiune necesară URGENT! Echipă Asistență Cloud",1,email,cloud storage full
Info: Spatiul dvs. OneDrive este aproape plin (14.5GB din 15GB). Eliberati spatiu sau verificati optiunile de upgrade in aplicatie. Microsoft OneDrive.,0,sms,cloud storage full
Alerta! Stocarea cloud este 99% plina. Datele dvs. sunt in pericol. Mariti spatiul acum pentru a evita pierderea. hxxps://s.id/cloud-fix-urgent,1,sms,cloud storage full
"Subject: Notificare: Spațiul dvs. de stocare Google Drive este aproape plin Stimate utilizator, Vă scriem pentru a vă informa că ați utilizat 95% din spațiul dvs. de stocare de 15 GB disponibil în Google Drive. Dacă atingeți limita maximă, nu veți mai putea încărca fișiere noi. Vă recomandăm să verificați spațiul de stocare și să eliberați fișiere inutile sau să explorați opțiunile de upgrade. Puteți gestiona spațiul de stocare aici: https://drive.google.com/settings/storage Vă mulțumim, Echipa Google Drive",0,email,cloud storage full
Atentie! Contul dumneavoastra de stocare a depasit limita de spatiu. Fisierele vor fi sterse in 48 ore. Logati-va imediat: hxxps://cloud-security.net/login.php,1,sms,cloud storage full
"Subject: Notificare Utilizare Stocare Dropbox Stimate utilizator, Vă informăm că ați utilizat 98% din spațiul dvs. de stocare Dropbox (1.96 GB din 2 GB). Pentru a continua să sincronizați fișiere fără întreruperi, vă rugăm să vă conectați la contul dvs. pentru a elibera spațiu sau pentru a explora opțiunile de upgrade: https://www.dropbox.com/account/plan Vă mulțumim, Echipa Dropbox",0,email,cloud storage full
"Subject: Avertisment Critic - Contul dvs. de Stocare este PLIN! Stimate membru, Am detectat că spațiul dvs. de stocare cloud este complet epuizat. Acest lucru poate duce la pierderea PERMANENTA a datelor și suspendarea contului. Trebuie să acționați imediat. Vă rugăm să faceți clic pe linkul de mai jos pentru a mări capacitatea de stocare: hxxps://update-storage.com/secure/login Ne pare rău pentru inconvenient, dar este pentru siguranța datelor dvs. Serviciul Clienti",1,email,cloud storage full
iCloud info: Ati utilizat 45GB din 50GB spatiu de stocare. Puteti gestiona spatiul in Setari > [Nume] > iCloud > Gestionare stocare. Apple Inc.,0,sms,cloud storage full
"Ultima sansa! Spatiul tau de stocare cloud este plin. Fara actiune, fisierele vor fi pierdute. Click acum: hxxps://cloudspace.info/upgrade",1,sms,cloud storage full
"Subject: Alerta Consum Stocare OneDrive Stimate utilizator, Vă anunțăm că spațiul dvs. de stocare OneDrive a atins 90% din capacitate (9 GB din 10 GB). Pentru a evita întreruperea serviciilor, vă recomandăm să eliberați spațiu sau să verificați opțiunile de upgrade. Detalii aici: https://onedrive.live.com/options/Storage Microsoft Corporation",0,email,cloud storage full
"Subject: Re: Alerta de Stocare - Actioneaza AZI! Stimate client, Inregistram un depasiment grav al capacitatii de stocare al contului dvs. Cloud. Daca nu remediati situatia, accesul la fisiere va fi restrictionat. Va rugam sa va logati si sa cresteti spatiul: hxxps://storage-upgrade.online/login Urgent!",1,email,cloud storage full
"Notificare de stocare: Ati utilizat 85% din spatiul dvs. de stocare. Pentru a verifica si gestiona, vizitati Setari Cont pe portalul nostru. Va multumim, Echipa CloudDrive.",0,sms,cloud storage full
ATENTIE! Stocarea cloud este 100% full. Conectati-va imediat sau pierdeti tot. Faceti clic AICI: hxxps://secure.cloud-system.biz/verify,1,sms,cloud storage full
"Subject: Reamintire: Spațiul dvs. de stocare Google Drive este aproape plin Stimate utilizator, Am observat că spațiul dvs. de stocare Google Drive este aproape plin. Vă rugăm să revizuiți fișierele și să eliberați spațiu sau să luați în considerare upgrade-ul planului dvs. Puteți găsi mai multe informații și opțiuni aici: https://one.google.com/storage Google LLC",0,email,cloud storage full
Problema Critica! Spațiu stocare cloud epuizat. Actiunea dvs. este necesara urgent pentru a evita pierderea datelor. Click aici: hxxps://fixmycloud.co/update,1,sms,cloud storage full
"Subject: Notificare Consum Spatiu Stocare iCloud Stimate client, Vă informăm că ați utilizat 48 GB din cei 50 GB de spațiu de stocare iCloud. Dacă doriți să achiziționați mai mult spațiu sau să gestionați fișierele existente, o puteți face din Setări > [Numele dvs.] > iCloud > Gestionați Stocarea. Cu respect, Apple Support",0,email,cloud storage full
CONT BLOCAT! Stocare cloud 100% full. Necesita deblocare imediata. Faceti clic pe link: hxxps://mycloud.login.security/reset,1,sms,cloud storage full
"Subject: Informare: Utilizarea spațiului de stocare Cloud Stimate utilizator, Vă reamintim că ați utilizat 92% din spațiul dvs. de stocare. Vă recomandăm să verificați fișierele și să eliberați spațiu pentru a evita întreruperi. Accesați: https://my.cloudprovider.com/storage Cu stimă, Echipa de Suport CloudVault",0,email,cloud storage full
Urgent! Contul dvs. de stocare online a atins limita. Toate fisierele vor fi șterse dacă nu acționați în 12 ore. Accesați: hxxps://cloud-storage.safety.net/upgrade,1,email,cloud storage full
Notificare Cloud Storage: 97% din spatiul dvs. este utilizat. Gestionati aici: https://yourcloud.com/settings. CloudCorp.,0,sms,cloud storage full
"Subject: ATENTIE: Stocarea Cloud e Plina - Re-activare Cont Necesara! Stimate Utilizator, Stocarea dvs. pe cloud a depasit limita si contul este in pericol de ștergere. Re-activati acum pentru a evita pierderea datelor. Clik aici: hxxps://secure-cloud-portal.net/re-activate. Sperăm să ne înțelegeți, Echipa de Asistență",1,email,cloud storage full
Spațiu stocare DropBox aproape plin (88% folosit). Eliberați sau extindeți spațiul pentru a asigura funcționarea optimă. Detalii în cont.,0,sms,cloud storage full
